district_name,division,crop_id,crop_name,crop_category,currently_grown,suitability_score,current_area_hectare,current_production_mt,potential_additional_area_hectare,potential_additional_production_mt,potential_oil_from_additional_mt,required_hub_equipment,priority_level,data_reliability
Dhaka,Dhaka,aman_rice_long,Traditional Aman Rice,cereal,yes,3,35000,98000,5000,14000,0,rice_mill,medium,estimated
Dhaka,Dhaka,boro_rice_regular,Regular Boro Rice,cereal,yes,3,28000,126000,4000,18000,0,rice_mill,medium,estimated
Dhaka,Dhaka,mustard,Mustard/Rapeseed,oilseed,yes,3,8000,9600,12000,14400,5760,oil_mill,medium,estimated
Dhaka,Dhaka,lentil,Lentil,pulse,yes,3,5000,5000,4000,4000,0,dryer,medium,estimated
Dhaka,Dhaka,potato,Potato,tuber,yes,4,12000,264000,5000,110000,0,cold_storage,high,estimated
Faridpur,Dhaka,aman_rice_long,Traditional Aman Rice,cereal,yes,4,55000,154000,6000,16800,0,rice_mill,high,estimated
Faridpur,Dhaka,boro_rice_regular,Regular Boro Rice,cereal,yes,4,42000,189000,5000,22500,0,rice_mill,high,estimated
Faridpur,Dhaka,mustard,Mustard/Rapeseed,oilseed,yes,5,35000,42000,30000,36000,14400,oil_mill,high,estimated
Faridpur,Dhaka,onion,Onion,vegetable,yes,4,12000,126000,8000,84000,0,cold_storage,high,estimated
Faridpur,Dhaka,lentil,Lentil,pulse,yes,4,15000,15000,10000,10000,0,dryer,high,estimated
Faridpur,Dhaka,grass_pea,Grass Pea/Khesari,pulse,yes,4,18000,21600,8000,9600,0,dryer,medium,estimated
Gazipur,Dhaka,aman_rice_long,Traditional Aman Rice,cereal,yes,3,22000,61600,3000,8400,0,rice_mill,medium,estimated
Gazipur,Dhaka,boro_rice_regular,Regular Boro Rice,cereal,yes,3,18000,81000,2000,9000,0,rice_mill,medium,estimated
Gazipur,Dhaka,mustard,Mustard/Rapeseed,oilseed,yes,3,5000,6000,8000,9600,3840,oil_mill,medium,estimated
Gazipur,Dhaka,potato,Potato,tuber,yes,3,6000,132000,3000,66000,0,cold_storage,medium,estimated
Gopalganj,Dhaka,aman_rice_long,Traditional Aman Rice,cereal,yes,4,42000,117600,5000,14000,0,rice_mill,high,estimated
Gopalganj,Dhaka,boro_rice_regular,Regular Boro Rice,cereal,yes,4,35000,157500,4000,18000,0,rice_mill,high,estimated
Gopalganj,Dhaka,mustard,Mustard/Rapeseed,oilseed,yes,4,20000,24000,18000,21600,8640,oil_mill,high,estimated
Gopalganj,Dhaka,lentil,Lentil,pulse,yes,3,8000,8000,5000,5000,0,dryer,medium,estimated
Gopalganj,Dhaka,mung_bean,Mung Bean,pulse,yes,3,6000,6600,4000,4400,0,dryer,medium,estimated
Kishoreganj,Dhaka,aman_rice_long,Traditional Aman Rice,cereal,yes,5,95000,266000,0,0,0,rice_mill,high,actual
Kishoreganj,Dhaka,boro_rice_regular,Regular Boro Rice,cereal,yes,4,65000,292500,0,0,0,rice_mill,high,actual
Kishoreganj,Dhaka,aman_rice_short,Short-duration Aman Rice,cereal,yes,4,25000,80000,15000,48000,0,rice_mill,high,estimated
Kishoreganj,Dhaka,mustard,Mustard/Rapeseed,oilseed,yes,4,18000,21600,20000,24000,9600,oil_mill,high,estimated
Kishoreganj,Dhaka,lentil,Lentil,pulse,yes,3,6000,6000,4000,4000,0,dryer,medium,estimated
