crop_id,crop_name,crop_category,growing_season,sowing_month_start,sowing_month_end,harvest_month_start,harvest_month_end,duration_days_min,duration_days_max,avg_yield_ton_per_hectare,max_potential_yield_ton_per_hectare,water_requirement,salt_tolerance,drought_tolerance,flood_tolerance,suitable_soil_types,recommended_varieties,top_5_districts,suitable_area_types,current_national_area_hectare,current_national_production_mt,potential_additional_area_hectare,potential_additional_production_mt,oil_content_pct,estimated_oil_from_potential_mt,fits_aman_boro_gap,data_reliability
aman_rice_long,Traditional Aman Rice,cereal,kharif_2,June,July,November,December,140,150,2.8,5.2,high,low,low,medium,"loamy, alluvial, clay",BRRI dhan49 BRRI dhan52 Swarna,"Sylhet, Sunamganj, Mymensingh, Kishoreganj, Netrokona","haor, plain, coastal",5600000,15680000,0,0,0,0,no,estimated
aman_rice_short,Short-duration Aman Rice,cereal,kharif_2,June,July,October,November,110,120,3.2,6.0,high,low,low,medium,"loamy, alluvial, clay",BRRI dhan75 BRRI dhan87 BINA dhan17,"Comilla, Rajshahi, Dinajpur, Rangpur, Bogura","plain, char, barind",2800000,8960000,1200000.0,3840000.0,0,0,no,estimated
boro_rice_regular,Regular Boro Rice,cereal,rabi,December,January,May,June,145,160,4.5,8.5,high,low,low,low,"loamy, clay, alluvial",BRRI dhan28 BRRI dhan29 BRRI dhan58,"Rajshahi, Bogura, Dinajpur, Rangpur, Pabna","plain, haor, barind",4800000,21600000,0,0,0,0,no,actual
boro_rice_short,Short-duration Boro Rice,cereal,rabi,January,February,May,May,130,140,4.2,7.8,high,low,low,low,"loamy, clay, alluvial",BRRI dhan74 BRRI dhan88 BRRI dhan84,"Rajshahi, Comilla, Dinajpur, Natore, Rangpur","plain, barind",1200000,5040000,0,0,0,0,no,estimated
aus_rice,Aus Rice,cereal,kharif_1,March,April,June,August,100,120,1.8,4.5,medium,low,medium,medium,"loamy, sandy, alluvial",BRRI dhan43 BRRI dhan65 Binadhan-19,"Chittagong, Comilla, Sylhet, Noakhali, Feni","plain, coastal, hilly",700000,1260000,0,0,0,0,no,estimated
hybrid_rice,Hybrid Rice,cereal,rabi,December,January,May,June,130,145,6.0,10.0,high,low,low,low,"loamy, clay, alluvial",Heera-2 Sona-4 ACI-1,"Rajshahi, Dinajpur, Bogura, Rangpur, Comilla","plain, barind",500000,3000000,0,0,0,0,no,estimated
mustard,Mustard/Rapeseed,oilseed,rabi,November,November,January,February,75,95,1.2,2.5,low,medium,medium,low,"loamy, alluvial, sandy loam",BARI Sarisha-14 BARI Sarisha-17 BARI Sarisha-18,"Rajshahi, Jessore, Pabna, Natore, Sirajganj","plain, char, barind, coastal",450000,540000,2250000,2700000,40,1080000,yes,estimated
sunflower,Sunflower,oilseed,rabi,November,December,February,March,90,110,1.5,3.5,medium,medium,medium,low,"loamy, sandy loam, alluvial",Surja-mukhi-1 BARI Surjamukhi-2 Hysun-33,"Satkhira, Khulna, Bagerhat, Patuakhali, Barguna","coastal, plain, char",45000,67500,600000,900000,42,378000,partial,estimated
soybean,Soybean,oilseed,kharif_1,May,June,August,September,100,120,1.4,3.2,medium,low,low,low,"loamy, sandy loam, alluvial",BARI Soybean-6 BINA Soybean-1 BARI Soybean-5,"Chittagong, Noakhali, Comilla, Brahmanbaria, Feni","char, plain, coastal",70000,98000,350000,490000,19,93100,no,estimated
groundnut,Groundnut/Peanut,oilseed,kharif_1,March,April,June,August,110,130,1.5,3.8,medium,low,high,low,"sandy, sandy loam, loamy",BARI Badam-8 BARI Badam-9 BARI Badam-5,"Dinajpur, Rangpur, Gaibandha, Jamalpur, Faridpur","char, plain, barind",90000,135000,450000,675000,47.5,320625,no,estimated
